========== LLM-AS-A-JUDGE SUMMARY FOR LLM MODELS ==========
gpt4_1_fewshot       | a2_middle_1310_test       | Faith=4.75 ± 0.43     | Fluency=5.00 ± 0.00     | Style=4.83 ± 0.37     | Overall=4.75 ± 0.43    
gpt4_1_fewshot       | a1_syntactic_test         | Faith=4.17 ± 0.37     | Fluency=5.00 ± 0.00     | Style=4.50 ± 0.50     | Overall=4.33 ± 0.47    
gpt4_1_fewshot       | a1_lexical_test           | Faith=4.60 ± 0.49     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.80 ± 0.40    
gpt4_1_fewshot       | a2_early_1260_test        | Faith=4.70 ± 0.46     | Fluency=5.00 ± 0.00     | Style=4.90 ± 0.30     | Overall=4.80 ± 0.40    
gpt4_1_fewshot       | real_97_test              | Faith=4.64 ± 0.59     | Fluency=5.00 ± 0.00     | Style=4.84 ± 0.36     | Overall=4.75 ± 0.52    
gpt4_1_fewshot       | a2_late_1360_test         | Faith=4.50 ± 0.50     | Fluency=5.00 ± 0.00     | Style=4.67 ± 0.47     | Overall=4.67 ± 0.47    
gpt4_1_fewshot       | a1_semantic_test          | Faith=4.40 ± 0.49     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.80 ± 0.40    
gemini2_5_fewshot    | a2_middle_1310_test       | Faith=4.00 ± 0.63     | Fluency=5.00 ± 0.00     | Style=4.50 ± 0.50     | Overall=4.30 ± 0.46    
gemini2_5_fewshot    | a1_syntactic_test         | Faith=4.50 ± 0.50     | Fluency=5.00 ± 0.00     | Style=5.00 ± 0.00     | Overall=5.00 ± 0.00    
gemini2_5_fewshot    | a1_lexical_test           | Faith=4.40 ± 0.49     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.60 ± 0.49    
gemini2_5_fewshot    | a2_early_1260_test        | Faith=4.70 ± 0.46     | Fluency=5.00 ± 0.00     | Style=4.90 ± 0.30     | Overall=4.90 ± 0.30    
gemini2_5_fewshot    | real_97_test              | Faith=4.41 ± 0.55     | Fluency=4.98 ± 0.14     | Style=4.64 ± 0.48     | Overall=4.56 ± 0.52    
gemini2_5_fewshot    | a2_late_1360_test         | Faith=N/A             | Fluency=N/A             | Style=N/A             | Overall=N/A            
gemini2_5_fewshot    | a1_semantic_test          | Faith=4.60 ± 0.49     | Fluency=5.00 ± 0.00     | Style=5.00 ± 0.00     | Overall=4.80 ± 0.40    
gemini2_5            | a2_middle_1310_test       | Faith=4.25 ± 0.59     | Fluency=4.92 ± 0.28     | Style=4.50 ± 0.50     | Overall=4.50 ± 0.50    
gemini2_5            | a1_syntactic_test         | Faith=4.33 ± 0.47     | Fluency=5.00 ± 0.00     | Style=4.67 ± 0.47     | Overall=4.50 ± 0.50    
gemini2_5            | a1_lexical_test           | Faith=4.40 ± 0.49     | Fluency=5.00 ± 0.00     | Style=4.40 ± 0.49     | Overall=4.40 ± 0.49    
gemini2_5            | a2_early_1260_test        | Faith=4.10 ± 0.54     | Fluency=4.90 ± 0.30     | Style=4.20 ± 0.60     | Overall=4.10 ± 0.54    
gemini2_5            | real_97_test              | Faith=4.24 ± 0.57     | Fluency=4.98 ± 0.14     | Style=4.59 ± 0.51     | Overall=4.40 ± 0.55    
gemini2_5            | a2_late_1360_test         | Faith=4.33 ± 0.74     | Fluency=4.83 ± 0.37     | Style=4.33 ± 0.74     | Overall=4.33 ± 0.74    
gemini2_5            | a1_semantic_test          | Faith=4.20 ± 0.75     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.40 ± 0.49    
gpt4_1               | a2_middle_1310_test       | Faith=4.75 ± 0.43     | Fluency=5.00 ± 0.00     | Style=5.00 ± 0.00     | Overall=5.00 ± 0.00    
gpt4_1               | a1_syntactic_test         | Faith=4.33 ± 0.47     | Fluency=5.00 ± 0.00     | Style=5.00 ± 0.00     | Overall=4.67 ± 0.47    
gpt4_1               | a1_lexical_test           | Faith=4.40 ± 0.80     | Fluency=5.00 ± 0.00     | Style=4.80 ± 0.40     | Overall=4.60 ± 0.49    
gpt4_1               | a2_early_1260_test        | Faith=4.70 ± 0.46     | Fluency=5.00 ± 0.00     | Style=4.70 ± 0.46     | Overall=4.70 ± 0.46    
gpt4_1               | real_97_test              | Faith=4.66 ± 0.47     | Fluency=5.00 ± 0.00     | Style=4.83 ± 0.38     | Overall=4.78 ± 0.41    
gpt4_1               | a2_late_1360_test         | Faith=4.50 ± 0.50     | Fluency=5.00 ± 0.00     | Style=4.67 ± 0.47     | Overall=4.67 ± 0.47    
gpt4_1               | a1_semantic_test          | Faith=4.00 ± 0.00     | Fluency=5.00 ± 0.00     | Style=4.40 ± 0.49     | Overall=4.40 ± 0.49  
